"input","output","section_texts"
"IT IS PERMITTED
FOR more than one person
TO have parental responsibility for the same child simultaneously","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/2"",
  ""type"": ""PERMITTED"",
  ""for"": ""more than one person"",
  ""to"": ""have parental responsibility for the same child simultaneously"",
  ""conditions"": [],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/2""
  ]
}","[
  ""section-2""
]"
"IT IS PERMITTED
FOR a person with parental responsibility for a child
TO act alone and without the other (or others) in meeting that responsibility
WHEN/IF/WHERE  more than one person has parental responsibility for a child
SUBJECT TO any enactment which requires the consent of more than one person in a matter affecting the child.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/2"",
  ""type"": ""PERMITTED"",
  ""for"": ""a person with parental responsibility for a child"",
  ""to"": ""act alone and without the other (or others) in meeting that responsibility"",
  ""conditions"": [
    {
      ""type"": ""WHEN/IF/WHERE"",
      ""text"": ""more than one person has parental responsibility for a child"",
      ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/2""
    },
    {
      ""type"": ""SUBJECT TO"",
      ""text"": ""any enactment which requires the consent of more than one person in a matter affecting the child."",
      ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/2""
    }
  ],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/2""
  ]
}","[
  ""section-2""
]"
"IT IS PROHIBITED
FOR a person who has parental responsibility for a child
TO act in any way which would be incompatible with any order made with respect to the child under this Act.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/2"",
  ""type"": ""PROHIBITED"",
  ""for"": ""a person who has parental responsibility for a child"",
  ""to"": ""act in any way which would be incompatible with any order made with respect to the child under this Act."",
  ""conditions"": [],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/2""
  ]
}","[
  ""section-2""
]"
"IT IS PROHIBITED
FOR a person who has parental responsibility for a child
TO surrender or transfer any part of that responsibility to another","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/2"",
  ""type"": ""PROHIBITED"",
  ""for"": ""a person who has parental responsibility for a child"",
  ""to"": ""surrender or transfer any part of that responsibility to another"",
  ""conditions"": [],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/2"",
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/4ZA""
  ]
}","[
  ""section-2""
]"
"IT IS PERMITTED
FOR A person who has parental responsibility for a child
TO arrange for some or all of that responsibility to be met by one or more persons acting on his behalf.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/2"",
  ""type"": ""PERMITTED"",
  ""for"": ""A person who has parental responsibility for a child"",
  ""to"": ""arrange for some or all of that responsibility to be met by one or more persons acting on his behalf."",
  ""conditions"": [],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/2"",
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/4ZA""
  ]
}","[
  ""section-2""
]"
"IT IS PERMITTED
FOR The person with whom any such arrangement is made
TO himself be a person who already has parental responsibility for the child concerned.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/2"",
  ""type"": ""PERMITTED"",
  ""for"": ""The person with whom any such arrangement is made"",
  ""to"": ""himself be a person who already has parental responsibility for the child concerned."",
  ""conditions"": [],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/2"",
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/4ZA""
  ]
}","[
  ""section-2""
]"
"IT IS PERMITTED
FOR A person who—
(a) does not have parental responsibility for a particular child; but
(b) has care of the child,
TO do what is reasonable in all the circumstances of the case for the purpose of safeguarding or promoting the child’s welfare
SUBJECT TO the provisions of this Act.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/3"",
  ""type"": ""PERMITTED"",
  ""for"": ""A person who—"",
  ""to"": ""do what is reasonable in all the circumstances of the case for the purpose of safeguarding or promoting the child’s welfare"",
  ""conditions"": [
    {
      ""type"": ""SUBJECT TO"",
      ""text"": ""the provisions of this Act."",
      ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/3""
    }
  ],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/2"",
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/4A""
  ]
}","[
  ""section-3""
]"
"IT IS PERMITTED
FOR the father of a child
TO acquire parental responsibility
WHEN/IF/WHERE the child’s father and mother were not married to, or civil partners of, each other at the time of his birth
WHEN/IF/WHERE (a) he becomes registered as the child’s father under any of the enactments specified in subsection (1A);
(b) he and the child’s mother make an agreement (a “parental responsibility agreement”) providing for him to have parental responsibility for the child; or
(c) the court, on his application, orders that he shall have parental responsibility for the child.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/4"",
  ""type"": ""PERMITTED"",
  ""for"": ""the father of a child"",
  ""to"": ""acquire parental responsibility"",
  ""conditions"": [
    {
      ""type"": ""WHEN/IF/WHERE"",
      ""text"": ""the child’s father and mother were not married to, or civil partners of, each other at the time of his birth"",
      ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/4""
    },
    {
      ""type"": ""WHEN/IF/WHERE"",
      ""text"": ""(a) he becomes registered as the child’s father under any of the enactments specified in subsection (1A); (b) he and the child’s mother make an agreement (a “parental responsibility agreement”) providing for him to have parental responsibility for the child; or (c) the court, on his application, orders that he shall have parental responsibility for the child."",
      ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/4""
    }
  ],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/4ZA"",
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/4""
  ]
}","[
  ""section-4""
]"
"IT IS PERMITTED
FOR The Secretary of State
TO, by order, amend subsection (1A) so as to add further enactments to the list in that subsection.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/4"",
  ""type"": ""PERMITTED"",
  ""for"": ""The Secretary of State"",
  ""to"": ""by order, amend subsection (1A) so as to add further enactments to the list in that subsection."",
  ""conditions"": [],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/4ZA""
  ]
}","[
  ""section-4""
]"
"IT IS PROHIBITED
FOR a parental responsibility agreement
TO have effect for the purposes of this Act
UNLESS (a) it is made in the form prescribed by regulations made by the Lord Chancellor; and
(b) where regulations are made by the Lord Chancellor prescribing the manner in which such agreements must be recorded, it is recorded in the prescribed manner.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/4"",
  ""type"": ""PROHIBITED"",
  ""for"": ""a parental responsibility agreement"",
  ""to"": ""have effect for the purposes of this Act"",
  ""conditions"": [
    {
      ""type"": ""UNLESS"",
      ""text"": ""(a) it is made in the form prescribed by regulations made by the Lord Chancellor; and (b) where regulations are made by the Lord Chancellor prescribing the manner in which such agreements must be recorded, it is recorded in the prescribed manner."",
      ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/4""
    }
  ],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/4"",
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/4ZA""
  ]
}","[
  ""section-4""
]"
"IT IS PERMITTED
FOR The court
TO make an order under subsection (2A) on the application—
(a) of any person who has parental responsibility for the child; or
(b) with the leave of the court, of the child himself,
SUBJECT TO, in the case of parental responsibility acquired under subsection (1)(c), section 12(4).","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/4"",
  ""type"": ""PERMITTED"",
  ""for"": ""The court"",
  ""to"": ""make an order under subsection (2A) on the application— (a) of any person who has parental responsibility for the child; or (b) with the leave of the court, of the child himself,"",
  ""conditions"": [
    {
      ""type"": ""SUBJECT TO"",
      ""text"": "", in the case of parental responsibility acquired under subsection (1)(c), section 12(4)."",
      ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/4""
    }
  ],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/4A"",
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/4""
  ]
}","[
  ""section-4""
]"
"IT IS PERMITTED
FOR The court
TO only grant leave under subsection (3)(b)
WHEN/IF/WHERE it is satisfied that the child has sufficient understanding to make the proposed application.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/4"",
  ""type"": ""PERMITTED"",
  ""for"": ""The court"",
  ""to"": ""only grant leave under subsection (3)(b)"",
  ""conditions"": [
    {
      ""type"": ""WHEN/IF/WHERE"",
      ""text"": ""it is satisfied that the child has sufficient understanding to make the proposed application."",
      ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/4""
    }
  ],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/4A"",
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/4ZA""
  ]
}","[
  ""section-4""
]"
"IT IS PERMITTED
FOR a child’s parent (“parent A”) or, if the other parent of the child also has parental responsibility for the child, both parents
TO by agreement with a person who is not the child’s parent (“the step-parent”) provide for the step-parent to have parental responsibility for the child
WHEN/IF/WHERE the child’s parent who has parental responsibility for the child is married to, or a civil partner of, the step-parent","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/4"",
  ""type"": ""PERMITTED"",
  ""for"": ""a child’s parent (“parent A”) or, if the other parent of the child also has parental responsibility for the child, both parents"",
  ""to"": ""by agreement with a person who is not the child’s parent (“the step-parent”) provide for the step-parent to have parental responsibility for the child"",
  ""conditions"": [
    {
      ""type"": ""WHEN/IF/WHERE"",
      ""text"": ""the child’s parent who has parental responsibility for the child is married to, or a civil partner of, the step-parent"",
      ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/4""
    }
  ],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/4ZA"",
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/4""
  ]
}","[
  ""section-4""
]"
"IT IS PERMITTED
FOR a court
TO, on the application of a person who is not the child’s parent (“the step-parent”), order that the step-parent shall have parental responsibility for the child
WHEN/IF/WHERE the child’s parent who has parental responsibility for the child is married to, or a civil partner of, the step-parent.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/4"",
  ""type"": ""PERMITTED"",
  ""for"": ""a court"",
  ""to"": ""on the application of a person who is not the child’s parent (“the step-parent”), order that the step-parent shall have parental responsibility for the child"",
  ""conditions"": [
    {
      ""type"": ""WHEN/IF/WHERE"",
      ""text"": ""the child’s parent who has parental responsibility for the child is married to, or a civil partner of, the step-parent."",
      ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/4""
    }
  ],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/4ZA"",
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/6""
  ]
}","[
  ""section-4""
]"
"IT IS PERMITTED
FOR The court
TO only grant leave under subsection (3)(b)
WHEN/IF/WHERE it is satisfied that the child has sufficient understanding to make the proposed application.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/4"",
  ""type"": ""PERMITTED"",
  ""for"": ""The court"",
  ""to"": ""only grant leave under subsection (3)(b)"",
  ""conditions"": [
    {
      ""type"": ""WHEN/IF/WHERE"",
      ""text"": ""it is satisfied that the child has sufficient understanding to make the proposed application."",
      ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/4""
    }
  ],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/4A"",
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/4ZA""
  ]
}","[
  ""section-4""
]"
"IT IS PERMITTED
FOR a court
TO, by order, appoint that individual to be the child’s guardian if—
(a) the child has no parent with parental responsibility for him; or
(b) a parent, guardian or special guardian of the child's was named in a child arrangements order as a person with whom the child was to live and has died while the order was in force ; or
(c) paragraph (b) does not apply, and the child’s only or last surviving special guardian dies
WHEN/IF/WHERE an application with respect to a child is made to the court by any individual
UNLESS the child arrangements order referred to in paragraph (b) also named a surviving parent of the child as a person with whom the child was to live.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/5"",
  ""type"": ""PERMITTED"",
  ""for"": ""a court"",
  ""to"": ""by order, appoint that individual to be the child’s guardian if— (a) the child has no parent with parental responsibility for him; or (b) a parent, guardian or special guardian of the child's was named in a child arrangements order as a person with whom the child was to live and has died while the order was in force ; or (c) paragraph (b) does not apply, and the child’s only or last surviving special guardian dies"",
  ""conditions"": [
    {
      ""type"": ""WHEN/IF/WHERE"",
      ""text"": ""an application with respect to a child is made to the court by any individual"",
      ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/5""
    },
    {
      ""type"": ""UNLESS"",
      ""text"": ""the child arrangements order referred to in paragraph (b) also named a surviving parent of the child as a person with whom the child was to live."",
      ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/5""
    }
  ],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/5""
  ]
}","[
  ""section-5""
]"
"IT IS PERMITTED
FOR The power conferred by subsection (1)
TO also be exercised in any family proceedings
WHEN/IF/WHERE the court considers that the order should be made even though no application has been made for it.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/5"",
  ""type"": ""PERMITTED"",
  ""for"": ""The power conferred by subsection (1)"",
  ""to"": ""also be exercised in any family proceedings"",
  ""conditions"": [
    {
      ""type"": ""WHEN/IF/WHERE"",
      ""text"": ""the court considers that the order should be made even though no application has been made for it."",
      ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/5""
    }
  ],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/6"",
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/1""
  ]
}","[
  ""section-5""
]"
"IT IS PERMITTED
FOR A parent who has parental responsibility for his child
TO appoint another individual to be the child’s guardian in the event of their death.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/5"",
  ""type"": ""PERMITTED"",
  ""for"": ""A parent who has parental responsibility for his child"",
  ""to"": ""appoint another individual to be the child’s guardian in the event of their death."",
  ""conditions"": [],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/5""
  ]
}","[
  ""section-5""
]"
"IT IS PERMITTED
FOR A guardian of a child
TO appoint another individual to take his place as the child’s guardian in the event of his death","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/5"",
  ""type"": ""PERMITTED"",
  ""for"": ""A guardian of a child"",
  ""to"": ""appoint another individual to take his place as the child’s guardian in the event of his death"",
  ""conditions"": [],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/5""
  ]
}","[
  ""section-5""
]"
"IT IS PERMITTED
FOR a special guardian of a child
TO appoint another individual to be the child’s guardian in the event of his death.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/5"",
  ""type"": ""PERMITTED"",
  ""for"": ""a special guardian of a child"",
  ""to"": ""appoint another individual to be the child’s guardian in the event of his death."",
  ""conditions"": [],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/5""
  ]
}","[
  ""section-5""
]"
"IT IS OBLIGATORY
FOR an appointment under section 5(3) (by either a parent or guardian) or section 5(4) (by a guardian or special guardian)
TO have effect
UNLESS it is made in writing, is dated and is signed by the person making the appointment or—
(a) in the case of an appointment made by a will which is not signed by the testator, is signed at the direction of the testator in accordance with the requirements of section 9 of the Wills Act 1837; or
(b) in any other case, is signed at the direction of the person making the appointment, in his presence and in the presence of two witnesses who each attest the signature.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/5"",
  ""type"": ""OBLIGATORY"",
  ""for"": ""an appointment under section 5(3) (by either a parent or guardian) or section 5(4) (by a guardian or special guardian)"",
  ""to"": ""have effect"",
  ""conditions"": [
    {
      ""type"": ""UNLESS"",
      ""text"": ""it is made in writing, is dated and is signed by the person making the appointment or— (a) in the case of an appointment made by a will which is not signed by the testator, is signed at the direction of the testator in accordance with the requirements of section 9 of the Wills Act 1837; or (b) in any other case, is signed at the direction of the person making the appointment, in his presence and in the presence of two witnesses who each attest the signature."",
      ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/5""
    }
  ],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/6""
  ]
}","[
  ""section-5""
]"
"IT IS OBLIGATORY
FOR A person appointed as a child’s guardian under this section
TO have parental responsibility for the child concerned.","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/5"",
  ""type"": ""OBLIGATORY"",
  ""for"": ""A person appointed as a child’s guardian under this section"",
  ""to"": ""have parental responsibility for the child concerned."",
  ""conditions"": [],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/2"",
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/4A""
  ]
}","[
  ""section-5""
]"
"IT IS PROHIBITED
FOR a court
TO exercise the High Court’s inherent jurisdiction to appoint a guardian of the estate of any child
SUBJECT TO any provision made by rules of court","{
  ""main_section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/5"",
  ""type"": ""PROHIBITED"",
  ""for"": ""a court"",
  ""to"": ""exercise the High Court’s inherent jurisdiction to appoint a guardian of the estate of any child"",
  ""conditions"": [
    {
      ""type"": ""SUBJECT TO"",
      ""text"": ""any provision made by rules of court"",
      ""section"": ""https://www.legislation.gov.uk/ukpga/1989/41/section/5""
    }
  ],
  ""_alt_section_urls"": [
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/3"",
    ""https://www.legislation.gov.uk/ukpga/1989/41/section/5""
  ]
}","[
  ""section-5""
]"
